"Family","ScientificName","CommonName","TeleostOrElasmo","Lifestyle","MROriginLocation","MRSampleSize","MRCitation","MRMassGrams","MRTempCelcius","WholeOrganismMRWatts","Amat","Amax","ReproOutput","Rmax","DFtype","MRtype"
"Rajidae","Amblyraja radiata","Throny skate","Elasmo","Benthic","Gulf of Maine",14,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,"BigN","RMR"
"Rajidae","Amblyraja radiata","Throny skate","Elasmo","Benthic","Gulf of Maine",9,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",1276.66666666667,13,0.163763778855667,11,28,7.5,0.253487417475029,"MeanT","RMR"
"Ammodytidae","Ammodytes tobianus","Lesser sand-eel","Teleost","Benthic","Helsingââr",7,"Behrens, J. W., & Steffensen, J. F. (2007). The effect of hypoxia on behavioural and physiological aspects of lesser sandeel, Ammodytes tobianus (Linnaeus, 1785).ÊMarine Biology,Ê150(6), 1365-1377.",3.5,10,0.000945875,1,7,24.1166611920648,2.24938025162531,"Both","RMR"
"Anoplopomatidae","Anoplopoma fimbria","Sablefish","Teleost","Pelagic","Port Orchard, Washington",12,"Leeuwis, R. H., Nash, G. W., Sandrelli, R. M., Zanuzzo, F. S., & Gamperl, A. K. (2019). The environmental tolerances and metabolic physiology of sablefish (Anoplopoma fimbria).ÊComparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology,Ê231, 140-148.",619,11.999,0.154438811807648,6.86,102,0.60607023742012,0.122627442523401,"Both","RMR"
"Dasyatidae","Bathytoshia lata","Brown stringray","Elasmo","Benthic","Kane'ohe Bay, Hawaii",22,"Dale, J. J., Drazen, J. C., & Holland, K. N. (2013). Stingray life history trade-offs associated with nursery habitat use inferred from a bioenergetics model.ÊMarine biology,Ê160, 3181-3192.",5957.727273,25.48181818,1.25688313568599,15,28,1.75,0.116787846924346,"Both","RMR"
"Callorhinchidae","Callorhinchus milii","Elephant fish","Elasmo","Benthopelagic","from Barwon estuary and Corner inlet (Victoria, Australia)",7,"Finotto, L. (2021).ÊReproductive and energetic consequences of fishing capture on chondrichthyan speciesÊ(Doctoral dissertation, PhD dissertation, Monash University).",2100,14,0.48864725,5,20,9.85,0.533440601873068,"Both","RMR"
"Carcharhinidae","Carcharhinus acronotus","Blacknose shark","Elasmo","Benthopelagic","St. Andrews Bay, FL",10,"Carlson, J. K., Palmer, C. L., & Parsons, G. R. (1999). Oxygen consumption rate and swimming efficiency of the blacknose shark, Carcharhinus acronotus.ÊCopeia, 34-39.",560,28,0.525961333333333,3.2,12,1.57,0.323575034794507,"Both","RMR"
"Carcharhinidae","Carcharhinus leucas","Bull shark","Elasmo","Pelagic","Fitzroy River, Western Australia",9,"Original ref: Lear et al 2020; from supplementary material of Ste-Marie, E., Watanabe, Y. Y., Semmens, J. M., Marcoux, M., & Hussey, N. E. (2020). A first look at the metabolic rate of Greenland sharks (Somniosus microcephalus) in the Canadian Arctic.ÊScientific reports,Ê10(1), 19297.",5000,19.7,1.98575,9.5,27,2.25,0.190907874016428,"Both","RMR"
"Carcharhinidae","Carcharhinus limbatus","Blacktip shark","Elasmo","Pelagic","Terra Ceia Bay, Western FL coast, Eastern GOM",7,"Lear, K. O., Gleiss, A. C., & Whitney, N. M. (2018). Metabolic rates and the energetic cost of external tag attachment in juvenile blacktip sharks Carcharhinus limbatus.ÊJournal of Fish Biology,Ê93(2), 391-395.",1260,29.3,0.8808975,6.4,23.5,1.13,0.186202621399858,"Both","RMR"
"Carcharhinidae","Carcharhinus melanopterus","Blacktip reef shark","Elasmo","Benthopelagic","Moorea, French Polynesia",8,"Original ref: Bouyoucos et al 2018; from supplementary material of Ste-Marie, E., Watanabe, Y. Y., Semmens, J. M., Marcoux, M., & Hussey, N. E. (2020). A first look at the metabolic rate of Greenland sharks (Somniosus microcephalus) in the Canadian Arctic.ÊScientific reports,Ê10(1), 19297.",1080,29.66,0.4268916,8.5,25,1,0.14078988953422,"Both","RMR"
"Carcharhinidae","Carcharhinus plumbeus","Sandbar shark","Elasmo","Pelagic","near Richmond, Virginia",33,"Dowd, W., Brill, R. W., Bushnell, P. G., & Musick, J. A. (2006). Standard and routine metabolic rates of juvenile sandbar sharks (Carcharhinus plumbeus), including the effects of body mass and acute temperature change.",4413.0303030303,24,1.45708308080808,18,40,2.1,0.116185294945653,"BigN","RMR"
"Carcharhinidae","Carcharhinus plumbeus","Sandbar shark","Elasmo","Pelagic","near Richmond, Virginia",16,"Dowd, W., Brill, R. W., Bushnell, P. G., & Musick, J. A. (2006). Standard and routine metabolic rates of juvenile sandbar sharks (Carcharhinus plumbeus), including the effects of body mass and acute temperature change.",3609.0625,18,0.630069270833333,18,40,2.1,0.116185294945653,"MeanT","RMR"
"Serranidae","Centropristis striata","Black sea bass","Teleost","Benthopelagic","northern stock, coast of New Jersey, USA (Sea Girt Reef and Sandy Hook)",44,"Slesinger, E., Andres, A., Young, R., Seibel, B., Saba, V., Phelan, B., ... & Saba, G. (2019). The effect of ocean warming on black sea bass (Centropristis striata) aerobic scope and hypoxia tolerance.ÊPLoS One,Ê14(6), e0218390.",330.8193182,29.95,0.262269464038988,2,15,13.8653404158325,0.728775581779795,"BigN","RMR"
"Serranidae","Centropristis striata","Black sea bass","Teleost","Benthopelagic","northern stock, coast of New Jersey, USA (Sea Girt Reef and Sandy Hook)",16,"Slesinger, E., Andres, A., Young, R., Seibel, B., Saba, V., Phelan, B., ... & Saba, G. (2019). The effect of ocean warming on black sea bass (Centropristis striata) aerobic scope and hypoxia tolerance.ÊPLoS One,Ê14(6), e0218390.",350.909375,13.09125,0.0655320150802409,2,15,13.8653404158325,0.728775581779795,"MeanT","RMR"
"Scyliorhinidae","Cephaloscyllium isabellum","Draughtboard shark","Elasmo","Benthic","Hauraki Gulf, north-eastern New Zealand",7,"Pers. comm. by M. Kelly; also see Kelly, M. L., Collins, S. P., Lesku, J. A., Hemmi, J. M., Collin, S. P., & Radford, C. A. (2022). Energy conservation characterizes sleep in sharks. Biology Letters, 18(3), 20210259.",1765.57142857143,17.5,0.394509047619048,9.2,15.5,2,0.161347419326915,"Both","RMR"
"Hemiscylliidae","Chiloscyllium plagiosum","Whitespotted bamboo shark","Elasmo","Benthic","obtained as eggs from Six Flags and raised at 24.5ÃÃ¶C and 32 salinity",18,"Tullis, A., and Baillie, M. (2005). The metabolic and biochemical responses of tropical whitespotted bamboo shark Chiloscyllium plagiosum to alterations in environmental temperature. Journal of Fish Biology 67, 950-968.",19.7,24.5,0.00703684,4.5,12.6,4,0.394507778666397,"BigN","RMR"
"Hemiscylliidae","Chiloscyllium plagiosum","Whitespotted bamboo shark","Elasmo","Benthic","northern Taiwan",6,"Chen, W. K., Liu, K. M., & Liao, Y. Y. (2008). Bioenergetics of juvenile whitespotted bamboo shark Chiloscyllium plagiosum [Anonymous (Bennett)].ÊJournal of Fish Biology,Ê72(6), 1245-1258.",551.666666666667,18,0.0649274972222222,4.5,12.6,4,0.394507778666397,"MeanT","RMR"
"Moronidae","Dicentrarchus labrax","European bass","Teleost","Pelagic","âÃle de RâÂ© (Charente Maritime, France)",19,"Chatelier, A., McKenzie, D. J., & Claireaux, G. (2005). Effects of changes in water salinity upon exercise and cardiac performance in the European seabass (Dicentrarchus labrax).ÊMarine Biology,Ê147(4), 855-862.",514,14,0.112737333333333,5.5,30,7.5047021174903,0.135111749311967,"Both","RMR"
"Engraulidae","Engraulis ringens","Peruvian anchovetta","Teleost","Pelagic","off coast of Peru, possibly near IMARPE (Callao, central Peru)",NA,"Villavicencio, R. (1981). Investigacin preliminar de los requerimientos energticos de anchoveta adulta (metabolismo estndar y actividad).",12.6,15,0.005473195,0.5,3,68.6807511188851,1.71781992605084,"Both","RMR"
"Gadidae","Gadus chalcogrammus","Alaska pollock","Teleost","Benthopelagic","Resurrection Bay, Gulf of Alaska",4,"Smith, R. L., Paul, A. J., & Paul, J. M. (1988). Aspects of energetics of adult walleye pollock, Theragra chalcogramma (Pallas), from Alaska.ÊJournal of fish biology,Ê33(3), 445-454.",547.5,7.1,0.0944574375,4.4,22,228.875398856852,0.771158802594138,"Both","RMR"
"Gadidae","Gadus macrocephalus","Pacific cod","Teleost","Benthopelagic","Kodiak Island, Gulf of Alaska",8,"Hanna, S. K., Haukenes, A. H., Foy, R. J., & Buck, C. L. (2008). Temperature effects on metabolic rate, swimming performance and condition of Pacific cod Gadus macrocephalus Tilesius.ÊJournal of Fish Biology,Ê72(4), 1068-1078.",1500,11,0.264801728940208,4.4,25,104.236628079937,0.584832624875259,"Both","RMR"
"Gadidae","Gadus morhua","Atlantic cod","Teleost","Benthopelagic","Oresund, Helsingor",12,"Schurmann, H., & Steffensen, J. F. (1997). Effects of temperature, hypoxia and activity on the metabolism of juvenile Atlantic cod.ÊJournal of fish biology,Ê50(6), 1166-1180.",371.1,10,0.09069684,2.9,15,350.864044834248,0.917509351721204,"BigN","RMR"
"Gadidae","Gadus morhua","Atlantic cod","Teleost","Benthopelagic","Oresund, Helsingor",11,"Schurmann, H., & Steffensen, J. F. (1997). Effects of temperature, hypoxia and activity on the metabolism of juvenile Atlantic cod.ÊJournal of fish biology,Ê50(6), 1166-1180.",298.4,15,0.0868368866666667,2.9,15,350.864044834248,0.917509351721204,"MeanT","RMR"
"Ginglymostomatidae","Ginglymostoma cirratum","Nurse shark","Elasmo","Benthic","Florida Keys, Eastern GOM",8,"Original ref: Lear et al 2017; from supplementary material of Ste-Marie, E., Watanabe, Y. Y., Semmens, J. M., Marcoux, M., & Hussey, N. E. (2020). A first look at the metabolic rate of Greenland sharks (Somniosus microcephalus) in the Canadian Arctic.ÊScientific reports,Ê10(1), 19297.",8310,23.9,1.132653,25,35,8.5,0.128345195653545,"BigN","RMR"
"Ginglymostomatidae","Ginglymostoma cirratum","Nurse shark","Elasmo","Benthic","Florida Keys",5,"Whitney, N. M., Lear, K. O., Gaskins, L. C., and Gleiss, A. C. (2016). The effects of temperature and swimming speed on the metabolic rate of the nurse shark (Ginglymostoma cirratum, Bonaterre). Journal of Experimental Marine Biology 477, 40-46.",8370,22.5,0.785867022063071,25,35,8.5,0.128345195653545,"MeanT","RMR"
"Pleuronectidae","Glyptocephalus cynoglossus","Witch","Teleost","Benthic","Hatteras, Virginia",8,"Moser, M. L., Ross, S. W., & Sulak, K. J. (1996). Metabolic responses to hypoxia of Lycenchelys verrillii (wolf eelpout) and Glyptocephalus cynoglossus (witch flounder): sedentary bottom fishes of the Hatteras/Virginia Middle Slope.ÊMarine Ecology Progress Series,Ê144, 57-61.",5.33,6,0.000846643270789976,5,30,528805.57032258,0.29129582386218,"Both","RMR"
"Hemiscylliidae","Hemiscyllium ocellatum","Epaulette shark","Elasmo","Benthic","Great Barrier Reef GBR (but hatched and held in MA, USA)",14,"Wheeler, C. R., Rummer, J. L., Bailey, B., Lockwood, J., Vance, S., & Mandelman, J. W. (2021). Future thermal regimes for epaulette sharks (Hemiscyllium ocellatum): growth and metabolic performance cease to be optimal.ÊScientific Reports,Ê11(1), 454.",20.0357142857143,27,0.00409170145640121,4,8,10,0.571428261078155,"BigN","RMR"
"Hemiscylliidae","Hemiscyllium ocellatum","Epaulette shark","Elasmo","Benthic","Heron Island, Great Barrier Reef",10,"Routley, M. H., Nilsson, G. E., and Renshaw, G. M. C. (2002) Exposure to hypoxia primes the respiratory and metabolic responses of the epaulette shark to progressive hypoxia. Comparative Biochemistry and Physiology Part A  131, 313-321.",636,25,0.2077494,4,8,10,0.571428261078155,"MeanT","RMR"
"Heterodontidae","Heterodontus francisci","Horn shark","Elasmo","Benthic","La Jolla, California",19,"From pers. comm. by T. Prinzing; Prinzing, T. S., Bigman, J. S., Skelton, Z. R., Dulvy, N. K., & Wegner, N. C. (2023). The allometric scaling of oxygen supply and demand in the California horn shark, Heterodontus francisci.ÊJournal of Experimental Biology,Ê226(15).",1746.61578947368,18,0.289045861349241,5,22,7,0.484793285371664,"BigN","RMR"
"Heterodontidae","Heterodontus francisci","California horn shark","Elasmo","Benthic","Southern California",4,"Luongo, S. M. and Lowe, C. G. (2018) Seasonally acclimated metabolic Q10 of the California horn shark, Heterodontus francisci. Journal of Experimental Marine Bioloy and Ecology 503, 129-135",722.5,14,0.0950300833333333,5,22,7,0.484793285371664,"MeanT","RMR"
"Heterodontidae","Heterodontus portusjacksoni","Portjackson shark","Elasmo","Benthic","Jervis bay NSW",16,"Gervais, C. R., & Brown, C. (2021). Impact of conspecific necromones on the oxygen uptake rates of a benthic elasmobranch.ÊAnimal Behaviour,Ê174, 1-8.",82.40625,20.6,0.0233653427271094,12.5,33,8,0.235347955699171,"BigN","RMR"
"Heterodontidae","Heterodontus portusjacksoni","Portjackson shark","Elasmo","Benthic","Jervis bay NSW",13,"Gervais, C. R., & Brown, C. (2021). Impact of conspecific necromones on the oxygen uptake rates of a benthic elasmobranch.ÊAnimal Behaviour,Ê174, 1-8.",89.8615384615385,17.6,0.0179727827567244,12.5,33,8,0.235347955699171,"MeanT","RMR"
"Pleuronectidae","Hippoglossoides platessoides","American plaice","Teleost","Benthic","St. Margaret's Bay, Nova Scotia",35,"MacKinnon, J. C. (1973) Metabolism and its relationship with growth rate of American plaice, Hippoglossoides platessoides Fabr. J. exp. mar. Biol. Ecol. 11: 397-310",316.903842857143,3,0.023523727737381,3.6,24,9.54267925517237,0.341207148848026,"BigN","RMR"
"Pleuronectidae","Hippoglossoides platessoides","American plaice","Teleost","Benthic","St. Margaret's Bay, Nova Scotia",22,"MacKinnon, J. C. (1973) Metabolism and its relationship with growth rate of American plaice, Hippoglossoides platessoides Fabr. J. exp. mar. Biol. Ecol. 11: 397-310",261.245735318182,6,0.0200365849011364,3.6,24,9.54267925517237,0.341207148848026,"MeanT","RMR"
"Pleuronectidae","Hippoglossus hippoglossus","Atlantic halibut","Teleost","Benthic","Sterling University, Scotland, captive from fish farm (source population Isle of Man stock)",NA,"Auchterlonie, N. A. (1998). Oxygen consumption and bioenergetics of the Atlantic halibut (Hippoglossus hippoglossus L.): implications for culture.",100,14,0.0264766666666667,10,38,1091.54049219523,0.397070549620122,"Both","RMR"
"Dasyatidae","Hypanus americanus","Southern stingray","Elasmo","Benthic","born at the Aquarium, East Coast USA (likely caught off the coast of FL)",6,"Fournier, R.W. (1996). The metabolic rate of two species of benthic elasmobranchs, nurse sharks and southern stingrays. Master's Thesis, Hofstra University.",310,23,0.25606775,5.5,17,1.25,0.201998667619362,"Both","RMR"
"Dasyatidae","Hypanus sabinus","Atlantic stingray","Elasmo","Benthic","Port Aransas, Texas, GOM",10,"Cameron, J. N., Randall, D. J., & Davis, J. C. (1971). Regulation of the ventilation-perfusion ratio in the gills of Dasyatis sabina and Squalus suckleyi.ÊComparative Biochemistry and Physiology Part A: Physiology,Ê39(3), 505-519.",491.4,22.86,0.168405237,3,17,1.3,0.334871143478623,"BigN","RMR"
"Dasyatidae","Hypanus sabinus","Atlantic stingray","Elasmo","Benthic","St. JosephâÃÃ´s Bay, Gulf County, Florida ",7,"Di Santo, V., and Bennett, W. A. (2011). Effect of rapid temperature change on resting routine metabolic rates of two benthic elasmobranchs. Fish Physiol Biochem 37, 929-934.",676,21,0.503212826046667,3,17,1.3,0.334871143478623,"MeanT","RMR"
"Lamnidae","Isurus oxyrinchus","Mako shark","Elasmo","Pelagic","Southern California, USA ",9,"Sepulveda, C. A., Graham, J. B., & Bernal, D. (2007). Aerobic metabolic rates of swimming juvenile mako sharks, Isurus oxyrinchus.ÊMarine Biology,Ê152, 1087-1094.",6090,21.8,2.95771,11,31,3,0.192516801635039,"Both","RMR"
"Scombridae","Katsuwonus pelamis","Skipjack tuna","Teleost","Pelagic","purchased from local fishermen and housed at the Kewalo Research Facility of the National Marine Fisheries Service",32,"Brill, R. W. (1979) The effect of body size on the standard metabolic rate of skipjack tuna, Katsuwonus pelamis. Fishery Bulletin 77, 494-498",1689.6248540625,28,2.04262491786458,1,12,5.28394128430019,1.31217988143934,"BigN","RMR"
"Scombridae","Katsuwonus pelamis","Skipjack tuna","Teleost","Pelagic","purchased from local fishermen and maintained at the Kewalo Research Facility (Southwest Fisheries Center Honolulu Laboratory, National Marine Fisheries Service, NOAA)",5,"Brill, R. W. (1987) On the standard metabolic rates of tropical tunas, including the effect of body size and acute temperature change. Fishery Bulletin 85, 25-35",630.6,23.5,0.64155,1,12,5.28394128430019,1.31217988143934,"MeanT","RMR"
"Rajidae","Leucoraja erinacea","Little skate","Elasmo","Benthic","from the Marine Resources Division at Woods Hole, Massachusetts, USA",7,"Hove, J. R., & Moss, S. A. (1997). Effect of MS-222 on response to light and rate of metabolism of the little skate Raja erinacea. Marine Biology 128, 579-583.",500,10,0.0393625,7.5,12.5,15,0.387954671308783,"BigN","RMR"
"Rajidae","Leucoraja erinacea","Little skate","Elasmo","Benthic","Gulf of Maine",7,"Di Santo, V. (2016). Intraspecific variation in physiological performance of a benthic elasmobranch challenged by ocean acidification and warming.ÊJournal of Experimental Biology,Ê219(11), 1725-1733.",25.5714285714286,15,0.00341869047619048,9.5,18,23,0.366249111181448,"MeanT","RMR"
"Osmeridae","Mallotus villosus","Capelin","Teleost","Pelagic","Barents Sea",23,"Karamushko, L. I., & Christiansen, J. S. (2002). Aerobic scaling and resting metabolism in oviferous and post-spawning Barents Sea capelin Mallotus villosus villosus (Mller, 1776).ÊJournal of experimental marine biology and ecology,Ê269(1), 1-8.",28.3,3.75,0.0131146916666667,2.5,6,1506.72560798372,1.41852453493428,"BigN","RMR"
"Osmeridae","Mallotus villosus","Capelin","Teleost","Pelagic","Barents Sea",21,"Behrens, J. W., Pr¾bel, K., & Steffensen, J. F. (2006). Swimming energetics of the Barents Sea capelin (Mallotus villosus) during the spawning migration period.ÊJournal of Experimental Marine Biology and Ecology,Ê331(2), 208-216.",26.83,5,0.00900571308333333,2.5,6,1506.72560798372,1.41852453493428,"MeanT","RMR"
"Gadidae","Melanogrammus aeglefinus","Haddock","Teleost","Benthopelagic","Somewhere around Scotland, UK",5,"Tytler (1977), The influence of swimming on performance on the metabolic rate of gadoid fish in: FISH, O. G. (2013, October). Peter Tytler. In Physiology and Behaviour of Marine Organisms: Proceedings of the 12th European Symposium on Marine Biology, Stirling, Scotland, September 1977 (p. 83). Elsevier.",155.9,15,0.0879276,2.5,15,245.148561254285,1.5447425463445,"Both","RMR"
"Gadidae","Merlangius merlangus","Whiting","Teleost","Benthopelagic","Denmark",8,"Steinhausen, M. F., Steffensen, J. F., and Andersen, N. G. (2005) Tail beat frequency as a predictor of swimming speed and oxygen consumption of saithe (Pollachius virens) and whiting (Merlangius merlangus) during forced swimming. Marine Biology 148, 197-204.",297,10,0.08770905,2,15,123.409453555582,1.16989703121347,"Both","RMR"
"Sciaenidae","Micropogonias undulatus","Atlantic croaker","Teleost","Benthopelagic","U.S. east coast",19,"Horodysky, A. Z., Brill, R. W., Bushnell, P. G., Musick, J. A., and Latour, R. J. (2011) Comparative metabolic rates of common western North Atlantic Ocean sciaenid fishes. Journal of Fish Biology 79, 235-255",317.063459368421,25,0.131085974811403,1,17,2.63139932149393,0.95977916607253,"BigN","RMR"
"Sciaenidae","Micropogonias undulatus","Atlantic croaker","Teleost","Benthopelagic","U.S. east coast",5,"Horodysky, A. Z., Brill, R. W., Bushnell, P. G., Musick, J. A., and Latour, R. J. (2011) Comparative metabolic rates of common western North Atlantic Ocean sciaenid fishes. Journal of Fish Biology 79, 235-255",157.034798,15,0.043289473375,1,17,2.63139932149393,0.95977916607253,"MeanT","RMR"
"Moronidae","Morone saxatilis","Striped bass","Teleost","Benthopelagic","Cheasapeake Bay",16,"Lapointe, D., Vogelbein, W. K., Fabrizio, M. C., Gauthier, D. T., & Brill, R. W. (2014). Temperature, hypoxia, and mycobacteriosis: effects on adult striped bass Morone saxatilis metabolic performance.ÊDiseases of aquatic organisms,Ê108(2), 113-127.",1300,20,0.364259950442909,5.3,21,168.113962600677,0.562422547756674,"Both","RMR"
"Triakidae","Mustelus antarcticus","Gummy shark","Elasmo","Benthopelagic","Victoria, Australia",13,"Molina, J. M., Finotto, L., Walker, T. I., & Reina, R. D. (2020). The effect of gillnet capture on the metabolic rate of two shark species with contrasting lifestyles.ÊJournal of Experimental Marine Biology and Ecology,Ê526, 151354.",4343.76923076923,16,1.40306333661815,6.9,16,5.5,0.318764098704597,"Both","RMR"
"Serranidae","Mycteroperca microlepis","Gag grouper","Teleost","Benthic","Eastern Gulf of Mexico",13,"Kline, R. J. (2004).ÊMETABOLIC RATE OF THE GAG GROUPERÊ(Doctoral dissertation, University of Florida).",1943,30,0.602998488881668,3,30,4.72143361707247,0.34501951674536,"BigN","RMR"
"Serranidae","Mycteroperca microlepis","Gag grouper","Teleost","Benthic","Eastern Gulf of Mexico",13,"Kline, R. J. (2004).ÊMETABOLIC RATE OF THE GAG GROUPERÊ(Doctoral dissertation, University of Florida).",1900,15,0.289179788201217,3,30,4.72143361707247,0.34501951674536,"MeanT","RMR"
"Myliobatidae","Myliobatis californica","Bat ray","Elasmo","Benthopelagic","Tomales Bay, CA",6,"Hopkins, T. E. and Cech Jr., J. J. (1994) Effect of temperature on oxygen consumption of the bat ray, Myliobatis californica (Chondrichthyes, Myliobatididae). Copeia 1994, 529-532.",5042,14,0.779191055260665,5,24,1.9,0.296244783674833,"Both","RMR"
"Carcharhinidae","Negaprion brevirostris","Lemon shark","Elasmo","Pelagic","Florida Keys, Eastern GOM",20,"Original ref: Lear et al 2017; from supplementary material of Ste-Marie, E., Watanabe, Y. Y., Semmens, J. M., Marcoux, M., & Hussey, N. E. (2020). A first look at the metabolic rate of Greenland sharks (Somniosus microcephalus) in the Canadian Arctic.ÊScientific reports,Ê10(1), 19297.",2770,20.6,0.695431583333333,12.7,37,2,0.151797972475082,"Both","RMR"
